timestamp	county	measure_names	measure_values
1602982802.61678	ALACHUA	Adult ICU Census	265
1602982802.61678	ALACHUA	Available Adult ICU	43
1602982802.61678	ALACHUA	Available Adult ICU%	0.13961039
1602982802.61678	ALACHUA	Available Pediatric ICU	6
1602982802.61678	ALACHUA	Available Pediatric ICU%	0.133333333
1602982802.61678	ALACHUA	Pediatric ICU Census	39
1602982802.61678	ALACHUA	Total AdultICU Capacity	308
1602982802.61678	ALACHUA	Total PediatricICU Capacity	45
1602982802.61678	All	Adult ICU Census	4637
1602982802.61678	All	Available Adult ICU	1457
1602982802.61678	All	Available Adult ICU%	0.239087627
1602982802.61678	All	Available Pediatric ICU	243
1602982802.61678	All	Available Pediatric ICU%	0.372699387
1602982802.61678	All	Pediatric ICU Census	409
1602982802.61678	All	Total AdultICU Capacity	6094
1602982802.61678	All	Total PediatricICU Capacity	652
1602982802.61678	BAKER	Adult ICU Census	0
1602982802.61678	BAKER	Available Adult ICU	0
1602982802.61678	BAKER	Available Adult ICU%	NA
1602982802.61678	BAKER	Available Pediatric ICU	0
1602982802.61678	BAKER	Available Pediatric ICU%	NA
1602982802.61678	BAKER	Pediatric ICU Census	0
1602982802.61678	BAKER	Total AdultICU Capacity	0
1602982802.61678	BAKER	Total PediatricICU Capacity	0
1602982802.61678	BAY	Adult ICU Census	54
1602982802.61678	BAY	Available Adult ICU	5
1602982802.61678	BAY	Available Adult ICU%	0.084745763
1602982802.61678	BAY	Available Pediatric ICU	2
1602982802.61678	BAY	Available Pediatric ICU%	0.5
1602982802.61678	BAY	Pediatric ICU Census	2
1602982802.61678	BAY	Total AdultICU Capacity	59
1602982802.61678	BAY	Total PediatricICU Capacity	4
1602982802.61678	BRADFORD	Adult ICU Census	0
1602982802.61678	BRADFORD	Available Adult ICU	0
1602982802.61678	BRADFORD	Available Adult ICU%	NA
1602982802.61678	BRADFORD	Available Pediatric ICU	0
1602982802.61678	BRADFORD	Available Pediatric ICU%	NA
1602982802.61678	BRADFORD	Pediatric ICU Census	0
1602982802.61678	BRADFORD	Total AdultICU Capacity	0
1602982802.61678	BRADFORD	Total PediatricICU Capacity	0
1602982802.61678	BREVARD	Adult ICU Census	121
1602982802.61678	BREVARD	Available Adult ICU	46
1602982802.61678	BREVARD	Available Adult ICU%	0.275449102
1602982802.61678	BREVARD	Available Pediatric ICU	0
1602982802.61678	BREVARD	Available Pediatric ICU%	NA
1602982802.61678	BREVARD	Pediatric ICU Census	0
1602982802.61678	BREVARD	Total AdultICU Capacity	167
1602982802.61678	BREVARD	Total PediatricICU Capacity	0
1602982802.61678	BROWARD	Adult ICU Census	345
1602982802.61678	BROWARD	Available Adult ICU	91
1602982802.61678	BROWARD	Available Adult ICU%	0.208715596
1602982802.61678	BROWARD	Available Pediatric ICU	38
1602982802.61678	BROWARD	Available Pediatric ICU%	0.550724638
1602982802.61678	BROWARD	Pediatric ICU Census	31
1602982802.61678	BROWARD	Total AdultICU Capacity	436
1602982802.61678	BROWARD	Total PediatricICU Capacity	69
1602982802.61678	CALHOUN	Adult ICU Census	0
1602982802.61678	CALHOUN	Available Adult ICU	0
1602982802.61678	CALHOUN	Available Adult ICU%	NA
1602982802.61678	CALHOUN	Available Pediatric ICU	0
1602982802.61678	CALHOUN	Available Pediatric ICU%	NA
1602982802.61678	CALHOUN	Pediatric ICU Census	0
1602982802.61678	CALHOUN	Total AdultICU Capacity	0
1602982802.61678	CALHOUN	Total PediatricICU Capacity	0
1602982802.61678	CHARLOTTE	Adult ICU Census	50
1602982802.61678	CHARLOTTE	Available Adult ICU	4
1602982802.61678	CHARLOTTE	Available Adult ICU%	0.074074074
1602982802.61678	CHARLOTTE	Available Pediatric ICU	0
1602982802.61678	CHARLOTTE	Available Pediatric ICU%	NA
1602982802.61678	CHARLOTTE	Pediatric ICU Census	0
1602982802.61678	CHARLOTTE	Total AdultICU Capacity	54
1602982802.61678	CHARLOTTE	Total PediatricICU Capacity	0
1602982802.61678	CITRUS	Adult ICU Census	34
1602982802.61678	CITRUS	Available Adult ICU	6
1602982802.61678	CITRUS	Available Adult ICU%	0.15
1602982802.61678	CITRUS	Available Pediatric ICU	0
1602982802.61678	CITRUS	Available Pediatric ICU%	NA
1602982802.61678	CITRUS	Pediatric ICU Census	0
1602982802.61678	CITRUS	Total AdultICU Capacity	40
1602982802.61678	CITRUS	Total PediatricICU Capacity	0
1602982802.61678	CLAY	Adult ICU Census	49
1602982802.61678	CLAY	Available Adult ICU	12
1602982802.61678	CLAY	Available Adult ICU%	0.196721311
1602982802.61678	CLAY	Available Pediatric ICU	0
1602982802.61678	CLAY	Available Pediatric ICU%	0
1602982802.61678	CLAY	Pediatric ICU Census	5
1602982802.61678	CLAY	Total AdultICU Capacity	61
1602982802.61678	CLAY	Total PediatricICU Capacity	5
1602982802.61678	COLLIER	Adult ICU Census	51
1602982802.61678	COLLIER	Available Adult ICU	35
1602982802.61678	COLLIER	Available Adult ICU%	0.406976744
1602982802.61678	COLLIER	Available Pediatric ICU	0
1602982802.61678	COLLIER	Available Pediatric ICU%	NA
1602982802.61678	COLLIER	Pediatric ICU Census	0
1602982802.61678	COLLIER	Total AdultICU Capacity	86
1602982802.61678	COLLIER	Total PediatricICU Capacity	0
1602982802.61678	COLUMBIA	Adult ICU Census	17
1602982802.61678	COLUMBIA	Available Adult ICU	0
1602982802.61678	COLUMBIA	Available Adult ICU%	0
1602982802.61678	COLUMBIA	Available Pediatric ICU	0
1602982802.61678	COLUMBIA	Available Pediatric ICU%	NA
1602982802.61678	COLUMBIA	Pediatric ICU Census	0
1602982802.61678	COLUMBIA	Total AdultICU Capacity	17
1602982802.61678	COLUMBIA	Total PediatricICU Capacity	0
1602982802.61678	DESOTO	Adult ICU Census	6
1602982802.61678	DESOTO	Available Adult ICU	2
1602982802.61678	DESOTO	Available Adult ICU%	0.25
1602982802.61678	DESOTO	Available Pediatric ICU	0
1602982802.61678	DESOTO	Available Pediatric ICU%	NA
1602982802.61678	DESOTO	Pediatric ICU Census	0
1602982802.61678	DESOTO	Total AdultICU Capacity	8
1602982802.61678	DESOTO	Total PediatricICU Capacity	0
1602982802.61678	DUVAL	Adult ICU Census	329
1602982802.61678	DUVAL	Available Adult ICU	91
1602982802.61678	DUVAL	Available Adult ICU%	0.216666667
1602982802.61678	DUVAL	Available Pediatric ICU	15
1602982802.61678	DUVAL	Available Pediatric ICU%	0.375
1602982802.61678	DUVAL	Pediatric ICU Census	25
1602982802.61678	DUVAL	Total AdultICU Capacity	420
1602982802.61678	DUVAL	Total PediatricICU Capacity	40
1602982802.61678	ESCAMBIA	Adult ICU Census	125
1602982802.61678	ESCAMBIA	Available Adult ICU	16
1602982802.61678	ESCAMBIA	Available Adult ICU%	0.113475177
1602982802.61678	ESCAMBIA	Available Pediatric ICU	9
1602982802.61678	ESCAMBIA	Available Pediatric ICU%	0.5625
1602982802.61678	ESCAMBIA	Pediatric ICU Census	7
1602982802.61678	ESCAMBIA	Total AdultICU Capacity	141
1602982802.61678	ESCAMBIA	Total PediatricICU Capacity	16
1602982802.61678	FLAGLER	Adult ICU Census	13
1602982802.61678	FLAGLER	Available Adult ICU	5
1602982802.61678	FLAGLER	Available Adult ICU%	0.277777778
1602982802.61678	FLAGLER	Available Pediatric ICU	0
1602982802.61678	FLAGLER	Available Pediatric ICU%	NA
1602982802.61678	FLAGLER	Pediatric ICU Census	0
1602982802.61678	FLAGLER	Total AdultICU Capacity	18
1602982802.61678	FLAGLER	Total PediatricICU Capacity	0
1602982802.61678	FRANKLIN	Adult ICU Census	0
1602982802.61678	FRANKLIN	Available Adult ICU	0
1602982802.61678	FRANKLIN	Available Adult ICU%	NA
1602982802.61678	FRANKLIN	Available Pediatric ICU	0
1602982802.61678	FRANKLIN	Available Pediatric ICU%	NA
1602982802.61678	FRANKLIN	Pediatric ICU Census	0
1602982802.61678	FRANKLIN	Total AdultICU Capacity	0
1602982802.61678	FRANKLIN	Total PediatricICU Capacity	0
1602982802.61678	GADSDEN	Adult ICU Census	0
