timestamp	county	file_number	measure_names	provider_name	measure_values
1605348003.0999	ALACHUA	100113	Adult ICU Census	UF HEALTH SHANDS HOSPITAL	233
1605348003.0999	ALACHUA	100113	Available Adult ICU	UF HEALTH SHANDS HOSPITAL	27
1605348003.0999	ALACHUA	100113	Available Adult ICU%	UF HEALTH SHANDS HOSPITAL	0.103846154
1605348003.0999	ALACHUA	100113	Available Pediatric ICU	UF HEALTH SHANDS HOSPITAL	8
1605348003.0999	ALACHUA	100113	Available Pediatric ICU%	UF HEALTH SHANDS HOSPITAL	0.170212766
1605348003.0999	ALACHUA	100113	Pediatric ICU Census	UF HEALTH SHANDS HOSPITAL	39
1605348003.0999	ALACHUA	100113	Total AdultICU Capacity	UF HEALTH SHANDS HOSPITAL	260
1605348003.0999	ALACHUA	100113	Total PediatricICU Capacity	UF HEALTH SHANDS HOSPITAL	47
1605348003.0999	ALACHUA	100204	Adult ICU Census	NORTH FLORIDA REGIONAL MEDICAL CENTER	39
1605348003.0999	ALACHUA	100204	Available Adult ICU	NORTH FLORIDA REGIONAL MEDICAL CENTER	9
1605348003.0999	ALACHUA	100204	Available Adult ICU%	NORTH FLORIDA REGIONAL MEDICAL CENTER	0.1875
1605348003.0999	ALACHUA	100204	Available Pediatric ICU	NORTH FLORIDA REGIONAL MEDICAL CENTER	0
1605348003.0999	ALACHUA	100204	Available Pediatric ICU%	NORTH FLORIDA REGIONAL MEDICAL CENTER	NA
1605348003.0999	ALACHUA	100204	Pediatric ICU Census	NORTH FLORIDA REGIONAL MEDICAL CENTER	0
1605348003.0999	ALACHUA	100204	Total AdultICU Capacity	NORTH FLORIDA REGIONAL MEDICAL CENTER	48
1605348003.0999	ALACHUA	100204	Total PediatricICU Capacity	NORTH FLORIDA REGIONAL MEDICAL CENTER	0
1605348003.0999	ALACHUA	110025	Adult ICU Census	UF HEALTH REHAB HOSPITAL	0
1605348003.0999	ALACHUA	110025	Available Adult ICU	UF HEALTH REHAB HOSPITAL	0
1605348003.0999	ALACHUA	110025	Available Adult ICU%	UF HEALTH REHAB HOSPITAL	NA
1605348003.0999	ALACHUA	110025	Available Pediatric ICU	UF HEALTH REHAB HOSPITAL	0
1605348003.0999	ALACHUA	110025	Available Pediatric ICU%	UF HEALTH REHAB HOSPITAL	NA
1605348003.0999	ALACHUA	110025	Pediatric ICU Census	UF HEALTH REHAB HOSPITAL	0
1605348003.0999	ALACHUA	110025	Total AdultICU Capacity	UF HEALTH REHAB HOSPITAL	0
1605348003.0999	ALACHUA	110025	Total PediatricICU Capacity	UF HEALTH REHAB HOSPITAL	0
1605348003.0999	ALACHUA	120011	Adult ICU Census	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0
1605348003.0999	ALACHUA	120011	Available Adult ICU	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0
1605348003.0999	ALACHUA	120011	Available Adult ICU%	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	NA
1605348003.0999	ALACHUA	120011	Available Pediatric ICU	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0
1605348003.0999	ALACHUA	120011	Available Pediatric ICU%	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	NA
1605348003.0999	ALACHUA	120011	Pediatric ICU Census	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0
1605348003.0999	ALACHUA	120011	Total AdultICU Capacity	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0
1605348003.0999	ALACHUA	120011	Total PediatricICU Capacity	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0
1605348003.0999	ALACHUA	23960071	Adult ICU Census	SELECT SPECIALTY HOSPITAL GAINESVILLE	0
1605348003.0999	ALACHUA	23960071	Available Adult ICU	SELECT SPECIALTY HOSPITAL GAINESVILLE	0
1605348003.0999	ALACHUA	23960071	Available Adult ICU%	SELECT SPECIALTY HOSPITAL GAINESVILLE	NA
1605348003.0999	ALACHUA	23960071	Available Pediatric ICU	SELECT SPECIALTY HOSPITAL GAINESVILLE	0
1605348003.0999	ALACHUA	23960071	Available Pediatric ICU%	SELECT SPECIALTY HOSPITAL GAINESVILLE	NA
1605348003.0999	ALACHUA	23960071	Pediatric ICU Census	SELECT SPECIALTY HOSPITAL GAINESVILLE	0
1605348003.0999	ALACHUA	23960071	Total AdultICU Capacity	SELECT SPECIALTY HOSPITAL GAINESVILLE	0
1605348003.0999	ALACHUA	23960071	Total PediatricICU Capacity	SELECT SPECIALTY HOSPITAL GAINESVILLE	0
1605348003.0999	BAKER	100134	Adult ICU Census	ED FRASER MEMORIAL HOSPITAL	0
1605348003.0999	BAKER	100134	Available Adult ICU	ED FRASER MEMORIAL HOSPITAL	0
1605348003.0999	BAKER	100134	Available Adult ICU%	ED FRASER MEMORIAL HOSPITAL	NA
1605348003.0999	BAKER	100134	Available Pediatric ICU	ED FRASER MEMORIAL HOSPITAL	0
1605348003.0999	BAKER	100134	Available Pediatric ICU%	ED FRASER MEMORIAL HOSPITAL	NA
1605348003.0999	BAKER	100134	Pediatric ICU Census	ED FRASER MEMORIAL HOSPITAL	0
1605348003.0999	BAKER	100134	Total AdultICU Capacity	ED FRASER MEMORIAL HOSPITAL	0
1605348003.0999	BAKER	100134	Total PediatricICU Capacity	ED FRASER MEMORIAL HOSPITAL	0
1605348003.0999	BAKER	104007	Adult ICU Census	NORTHEAST FLORIDA STATE HOSPITAL	0
1605348003.0999	BAKER	104007	Available Adult ICU	NORTHEAST FLORIDA STATE HOSPITAL	0
1605348003.0999	BAKER	104007	Available Adult ICU%	NORTHEAST FLORIDA STATE HOSPITAL	NA
1605348003.0999	BAKER	104007	Available Pediatric ICU	NORTHEAST FLORIDA STATE HOSPITAL	0
1605348003.0999	BAKER	104007	Available Pediatric ICU%	NORTHEAST FLORIDA STATE HOSPITAL	NA
1605348003.0999	BAKER	104007	Pediatric ICU Census	NORTHEAST FLORIDA STATE HOSPITAL	0
1605348003.0999	BAKER	104007	Total AdultICU Capacity	NORTHEAST FLORIDA STATE HOSPITAL	0
1605348003.0999	BAKER	104007	Total PediatricICU Capacity	NORTHEAST FLORIDA STATE HOSPITAL	0
1605348003.0999	BAY	100026	Adult ICU Census	ASCENSION SACRED HEART BAY	35
1605348003.0999	BAY	100026	Available Adult ICU	ASCENSION SACRED HEART BAY	0
1605348003.0999	BAY	100026	Available Adult ICU%	ASCENSION SACRED HEART BAY	0
1605348003.0999	BAY	100026	Available Pediatric ICU	ASCENSION SACRED HEART BAY	0
1605348003.0999	BAY	100026	Available Pediatric ICU%	ASCENSION SACRED HEART BAY	NA
1605348003.0999	BAY	100026	Pediatric ICU Census	ASCENSION SACRED HEART BAY	0
1605348003.0999	BAY	100026	Total AdultICU Capacity	ASCENSION SACRED HEART BAY	35
1605348003.0999	BAY	100026	Total PediatricICU Capacity	ASCENSION SACRED HEART BAY	0
1605348003.0999	BAY	100242	Adult ICU Census	GULF COAST REGIONAL MEDICAL CENTER	20
1605348003.0999	BAY	100242	Available Adult ICU	GULF COAST REGIONAL MEDICAL CENTER	0
1605348003.0999	BAY	100242	Available Adult ICU%	GULF COAST REGIONAL MEDICAL CENTER	0
1605348003.0999	BAY	100242	Available Pediatric ICU	GULF COAST REGIONAL MEDICAL CENTER	2
1605348003.0999	BAY	100242	Available Pediatric ICU%	GULF COAST REGIONAL MEDICAL CENTER	0.5
1605348003.0999	BAY	100242	Pediatric ICU Census	GULF COAST REGIONAL MEDICAL CENTER	2
1605348003.0999	BAY	100242	Total AdultICU Capacity	GULF COAST REGIONAL MEDICAL CENTER	20
1605348003.0999	BAY	100242	Total PediatricICU Capacity	GULF COAST REGIONAL MEDICAL CENTER	4
1605348003.0999	BAY	110034	Adult ICU Census	EMERALD COAST BEHAVIORAL HOSPITAL	0
1605348003.0999	BAY	110034	Available Adult ICU	EMERALD COAST BEHAVIORAL HOSPITAL	0
1605348003.0999	BAY	110034	Available Adult ICU%	EMERALD COAST BEHAVIORAL HOSPITAL	NA
1605348003.0999	BAY	110034	Available Pediatric ICU	EMERALD COAST BEHAVIORAL HOSPITAL	0
1605348003.0999	BAY	110034	Available Pediatric ICU%	EMERALD COAST BEHAVIORAL HOSPITAL	NA
1605348003.0999	BAY	110034	Pediatric ICU Census	EMERALD COAST BEHAVIORAL HOSPITAL	0
1605348003.0999	BAY	110034	Total AdultICU Capacity	EMERALD COAST BEHAVIORAL HOSPITAL	0
1605348003.0999	BAY	110034	Total PediatricICU Capacity	EMERALD COAST BEHAVIORAL HOSPITAL	0
1605348003.0999	BAY	23960013	Adult ICU Census	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0
1605348003.0999	BAY	23960013	Available Adult ICU	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0
1605348003.0999	BAY	23960013	Available Adult ICU%	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	NA
1605348003.0999	BAY	23960013	Available Pediatric ICU	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0
1605348003.0999	BAY	23960013	Available Pediatric ICU%	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	NA
1605348003.0999	BAY	23960013	Pediatric ICU Census	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0
1605348003.0999	BAY	23960013	Total AdultICU Capacity	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0
1605348003.0999	BAY	23960013	Total PediatricICU Capacity	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0
1605348003.0999	BAY	23960045	Adult ICU Census	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0
1605348003.0999	BAY	23960045	Available Adult ICU	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0
1605348003.0999	BAY	23960045	Available Adult ICU%	SELECT SPECIALTY HOSPITAL - PANAMA CITY	NA
1605348003.0999	BAY	23960045	Available Pediatric ICU	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0
1605348003.0999	BAY	23960045	Available Pediatric ICU%	SELECT SPECIALTY HOSPITAL - PANAMA CITY	NA
1605348003.0999	BAY	23960045	Pediatric ICU Census	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0
1605348003.0999	BAY	23960045	Total AdultICU Capacity	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0
1605348003.0999	BAY	23960045	Total PediatricICU Capacity	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0
1605348003.0999	BRADFORD	100103	Adult ICU Census	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0
1605348003.0999	BRADFORD	100103	Available Adult ICU	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0
1605348003.0999	BRADFORD	100103	Available Adult ICU%	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	NA
1605348003.0999	BRADFORD	100103	Available Pediatric ICU	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0
1605348003.0999	BRADFORD	100103	Available Pediatric ICU%	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	NA
1605348003.0999	BRADFORD	100103	Pediatric ICU Census	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0
